BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.30542077006503743,1
5609,2026-07-10 09:57:56.350,0,0,0.28088729745891955,-1
5612,2026-07-10 09:57:59.553,0,0,0.2712635188603301,1
5620,2026-07-10 09:58:09.196,0,0,0.3019953145675327,1
5622,2026-07-10 09:58:12.656,0,0,0.27083364305729796,-1
5628,2026-07-10 09:58:13.374,0,0,0.25707726484580967,-1
5630,2026-07-10 09:58:13.764,0,0,0.26958579567568336,1
5637,2026-07-10 09:58:20.723,0,1,0.28553118581316883,1
5651,2026-07-10 09:58:26.364,0,1,0.2480441058173518,-1
5658,2026-07-10 09:58:26.369,0,1,0.2672108864703898,1
5662,2026-07-10 09:58:26.401,0,0,0.2660586927569512,-1
5665,2026-07-10 09:58:26.403,0,1,0.26648747786411614,-1
5669,2026-07-10 09:58:26.404,0,0,0.26658664115836295,1
5672,2026-07-10 09:58:26.412,0,0,0.2662016639026578,-1
5675,2026-07-10 09:58:26.413,0,0,0.2667456676038244,1
5679,2026-07-10 09:58:26.474,0,0,0.26980735130320405,1
5689,2026-07-10 09:58:27.434,0,1,0.2663717506492222,-1
5698,2026-07-10 09:58:52.739,0,1,0.31076845007481024,1
5702,2026-07-10 09:59:05.619,0,0,0.27132455863860255,-1
5707,2026-07-10 09:59:13.110,0,0,0.2833368820002439,1
5710,2026-07-10 10:00:01.521,0,1,0.2877624618989318,1
5716,2026-07-10 10:01:32.732,0,0,0.302360870787402,-1
5719,2026-07-10 10:02:39.913,0,0,0.3069234968071004,-1
5723,2026-07-10 10:03:23.904,0,0,0.27281325411356055,-1
5725,2026-07-10 10:03:59.261,0,0,0.29320579460646373,1
5732,2026-07-10 10:04:43.027,0,0,0.289414154668544,1
5735,2026-07-10 10:06:06.496,0,0,0.2815441183354354,-1
5737,2026-07-10 10:06:52.419,0,0,0.28757581808848015,1
5739,2026-07-10 10:08:02.943,0,1,0.2721589226438064,-1
5746,2026-07-10 10:09:44.482,0,0,0.29961134319434696,1
5748,2026-07-10 10:10:02.857,0,1,0.3228626438965841,-1
5752,2026-07-10 10:11:14.292,0,0,0.3330180269090271,1
5754,2026-07-10 10:12:01.043,0,0,0.30218223032140856,-1
5756,2026-07-10 10:12:51.299,0,0,0.35429689141018134,1
5761,2026-07-10 10:14:43.403,0,0,0.253371559066273,1
5763,2026-07-10 10:15:01.414,0,0,0.2940997441187287,-1
5765,2026-07-10 10:15:37.642,0,0,0.33081104040166337,1
5767,2026-07-10 10:16:02.471,0,1,0.28541177456519956,-1
5772,2026-07-10 10:17:13.583,0,0,0.3163041624268583,1
5775,2026-07-10 10:18:01.301,0,1,0.28063084317612136,-1
5779,2026-07-10 10:18:45.393,0,0,0.28436964093336226,1
5783,2026-07-10 10:20:09.910,0,0,0.4432538146551145,1
5788,2026-07-10 10:21:45.505,0,1,0.3132619557501588,1
5792,2026-07-10 10:22:20.666,0,0,0.3437880738892424,-1
5798,2026-07-10 10:25:05.713,0,0,0.2615624796224721,-1
5807,2026-07-10 10:26:05.970,0,1,0.25681279078549346,-1
5812,2026-07-10 10:27:26.448,0,0,0.31442719927914015,1
5814,2026-07-10 10:28:53.845,0,0,0.32521870796298574,-1
5817,2026-07-10 10:30:14.037,0,1,0.3124810957625415,1
5821,2026-07-10 10:31:50.602,0,0,0.2959109472903695,-1
5823,2026-07-10 10:32:09.890,0,0,0.3041889833903879,1
5827,2026-07-10 10:33:50.592,0,0,0.3121425098472251,-1
5830,2026-07-10 10:34:54.823,0,1,0.30463442950783554,-1
5834,2026-07-10 10:35:18.746,0,0,0.2902847434514505,1
5837,2026-07-10 10:36:08.387,0,0,0.30182343991345073,-1
5845,2026-07-10 10:38:03.507,0,0,0.3162468759998571,-1
5847,2026-07-10 10:38:59.346,0,0,0.2502327963945494,1
5850,2026-07-10 10:40:05.256,0,0,0.2597096503882691,-1
5852,2026-07-10 10:40:27.072,0,0,0.27210704734555496,1
5866,2026-07-10 10:45:16.717,0,0,0.38264318315885987,1
5868,2026-07-10 10:48:52.758,0,0,0.3577862476747153,-1
